video_id,genre,seg_idx,p_remove,weak_p,gold_label,fn_label,disfl_label,text_snippet,text_full,visual_context_term
Aj0s9ztoKUc,entertainment,66,0.9591,0.9876,,clarification,clean,"I just feel like I gotta No, no, no, no, no, no, no, no, no. Sit down and see the map. Okay.","I just feel like I gotta No, no, no, no, no, no, no, no, no. Sit down and see the map. Okay.",the map
3esF-pNAM9c,podcasts,87,0.9403,1.0,1.0,off_topic,repetition,and I like look at us look at us look at us who thought you're you're perfect Stephen I'm so proud of you wait wait so I want to tell you this because it's really cool,and I like look at us look at us look at us who thought you're you're perfect Stephen I'm so proud of you wait wait so I want to tell you this because it's really cool,look at
1NLoTuRR3hE,podcasts,56,0.9034,1.0,,off_topic,filled_pause,">> I've got a picture here. If you look >> Oh, look at me back at uh Isn't that great? So, you get the haircut.",">> I've got a picture here. If you look >> Oh, look at me back at uh Isn't that great? So, you get the haircut.",look at
4EXVrzOACv4,commentary,11,0.8874,1.0,1.0,discourse_filler,clean,"[drinking noises] Aaah. Well that is one great beverage. Now you just need to protect it from the cat. Come on, kitty, off the table. Well, first of all, don’t.","[drinking noises] Aaah. Well that is one great beverage. Now you just need to protect it from the cat. Come on, kitty, off the table. Well, first of all, don’t.",the table
Aj0s9ztoKUc,entertainment,62,0.8769,1.0,,off_topic,clean,"To get to the map, so you can't even see it. It's a disadvantage, it's not unfair. It's, it makes it harder for you.","To get to the map, so you can't even see it. It's a disadvantage, it's not unfair. It's, it makes it harder for you.",the map
1NLoTuRR3hE,podcasts,140,0.8673,1.0,,discourse_filler,repetition,"I'm going to be late. And I'm like trying to, you know, and then we had the alarms going off in the house. And then the all the lights flicker cuz we just moved in as you know. And then the just craziness. And then you l","I'm going to be late. And I'm like trying to, you know, and then we had the alarms going off in the house. And then the all the lights flicker cuz we just moved in as you know. And then the just craziness. And then you look at my phone and there's business problems. And then there's my my my family problems are going on. And then I come here >> and I interview you. >>",look at
6HVYHNTDOFs,commentary,56,0.85,1.0,1.0,off_topic,clean,"You can scan this QR code or click the link in the description. Brilliant also gives our viewers 20% off an annual premium subscription for unlimited access. So, I wanna thank Brilliant for sponsoring this video, and I w","You can scan this QR code or click the link in the description. Brilliant also gives our viewers 20% off an annual premium subscription for unlimited access. So, I wanna thank Brilliant for sponsoring this video, and I wanna thank you for watching.",this video
Aj0s9ztoKUc,entertainment,61,0.8141,0.2803,,new_information,clean,"And then r needs to throw through it. I'm throwing through paper to get the map. Throw through the paper. Well, this feels a little unfair.","And then r needs to throw through it. I'm throwing through paper to get the map. Throw through the paper. Well, this feels a little unfair.",the map
IiAjADve-ec,tv_series,218,0.8133,1.0,,redundant_repetition,clean,"Hey, over here. -Margarita. -Margarita. Hey, over here.","Hey, over here. -Margarita. -Margarita. Hey, over here.",over here
Aj0s9ztoKUc,entertainment,63,0.7973,1.0,,discourse_filler,repetition,"Yeah, but I mean, I don't even, I can still, he hit the board. If you don't hit the board, I'll, I'll let you attempt it again. Oh, thank you for that. Um. Well, lemme just figure out what place I do think I would want t","Yeah, but I mean, I don't even, I can still, he hit the board. If you don't hit the board, I'll, I'll let you attempt it again. Oh, thank you for that. Um. Well, lemme just figure out what place I do think I would want to go.",the board
