video_id,genre,seg_idx,p_remove,weak_p,gold_label,fn_label,disfl_label,text_snippet,visual_context_term
6HVYHNTDOFs,commentary,33,0.0289,0.0205,0.0,new_information,clean,"But, with chilled rail cars, all this changed, and the country's supply chain reorganized into three parts. First, ranches across the Great Plains funneled their cattle to cities in the Midwest. Taking on the role of ind",
-QTkPfq7w1A,commentary,24,0.0293,0.005,0.0,new_information,clean,"Well, who's going to be the first to switch back? If any one driver goes back to Route 1 or two, their journey time will be the 25 minutes on the highway plus 20 minutes on the now congested city streets, or 45 minutes i",
3esF-pNAM9c,podcasts,1,0.0307,0.0205,0.0,new_information,clean,it's the fat that's really bad for you yeah you're not supposed to do that Stephen oh gosh the glucose goddess is back Jesse enpay is a biochemist and best-selling author with a focus on nutrition and glucose management ,
MsIvs_6vC38,lectures,1,0.0308,0.0205,,new_information,clean,"Then I'm going to use that to -- I will have a product of matrices and the product that we'll meet will be these elimination matrices and the net result of today's lectures is the big formula for elimination, so the net ",look at
-QTkPfq7w1A,commentary,16,0.0315,0.0914,0.0,new_information,clean,"On the day, Central Park was turned into a massive festival ground with almost a million people pouring in to see a stacked lineup of performers, including Hallen Oats and the B-52s. But the boldest stunt of the day was ",
o0AMK3wFK9E,ted,109,0.0337,0.0205,,new_information,clean,>> Dr. Sammy was amazing and he taught me so much and now I think I want to appreciate beans a little bit more. >> I think I liked Joe Barbosa the best. The guy that was actually running all of the streets of Chicago. >>,
3esF-pNAM9c,podcasts,69,0.0343,0.0339,0.0,new_information,repetition,Spike so it'll reduce your glucose Spike by up to 30% and your insulin Spike also by up to 30% the way it works is that you have these little scissors in your stomach like miniature scissors called enzymes their job is t,look at
AeGEv0YVLtw,commentary,11,0.0347,0.036,,new_information,clean,A while ago I made a video about a philosopher called Simon Critchley who has this idea called ‘Split Mind Theory’ - the idea is that the human mind is split into two bits: the bit that we experience and then the little ,
o0AMK3wFK9E,ted,74,0.0347,0.0914,,new_information,clean,"I had to do that a bunch in my 20 plus years of broadcasting, including three years hosting the NPR talk show 1A. Doing that work supercharged my ability to deal with highly problematic people without losing my integrity",
Aj0s9ztoKUc,entertainment,42,0.0374,0.0196,,new_information,clean,"I know it's not part of it, but. I'll talk, I'll talk to family about it. I have a lot of relatives in Dublin. Is there cheese in it? There, I, I'm just saying that like I know that Indian food has made its way to Irelan",
